"","peak","median_before","median_after","sd_before","sd_after","change_time","change_sd","direction","route"
"1","am",10.2785714285714,9.89754901960784,2.89848450159994,1.40472466569543,-0.381022408963586,-1.4937598359045,"Outbound","R73"
"2","mid",11.7285185185185,11.2866666666667,2.62231253054558,1.85560212849071,-0.441851851851851,-0.766710402054864,"Outbound","R73"
"3","other",11.41476841306,10.3895638629283,2.93604654179053,1.87622569772046,-1.02520455013164,-1.05982084407007,"Outbound","R73"
"4","pm",14.1810089020772,12.0363333333333,2.79273558739415,1.47857599109794,-2.14467556874382,-1.31415959629622,"Outbound","R73"
"5","am",18.2757092198582,12.9105691056911,7.27169750588174,5.89852118484131,-5.3651401141671,-1.37317632104043,"Inbound","R73"
"6","mid",10.7795698924731,10.6952380952381,1.56339320945168,3.45129994443707,-0.0843317972350217,1.88790673498539,"Inbound","R73"
"7","other",10.9028888888889,9.9906103286385,1.79772595049683,1.79383806933706,-0.912278560250391,-0.00388788115977223,"Inbound","R73"
"8","pm",12.4530303030303,10.9063492063492,2.7512921665753,1.80727293172212,-1.5466810966811,-0.94401923485318,"Inbound","R73"
